1, 3, 2, 4, 3, 3, 1, 3, 0, 4, 3, 0, 4, 2, 1, 4, 3, 1, 1, 0, 2, 4, 0, 0, 0, 3, 1, 
0,2,1&1,2,1: k=2000.000000, b=0.030709, c=3.290427
0,2,3&0,3,2: k=2000.000000, b=0.000000, c=0.000000
1,2,0&2,2,1: k=0.000000, b=0.000000, c=0.000000
0,2,0&1,2,0: k=0.000000, b=0.000000, c=0.000000
0,0,1&1,1,0: k=20000.000000, b=0.000000, c=0.000000
0,1,2&0,2,1: k=2000.000000, b=0.020000, c=3.141593
0,2,0&1,3,1: k=20000.000000, b=0.000000, c=0.000000
1,0,0&2,0,0: k=0.000000, b=0.000000, c=0.000000
0,2,1&1,2,2: k=2000.000000, b=0.020000, c=3.141593
1,2,1&1,2,2: k=2000.000000, b=0.028974, c=3.142549
2,0,2&3,1,1: k=2000.000000, b=0.000000, c=0.000000
0,1,2&1,2,1: k=2000.000000, b=0.020000, c=3.141593
2,1,1&3,2,0: k=0.000000, b=0.000000, c=0.000000
1,1,2&1,2,1: k=2000.000000, b=0.020000, c=3.141593
0,0,3&0,1,3: k=2000.000000, b=0.020000, c=0.000000
1,0,1&2,0,0: k=0.000000, b=0.000000, c=0.000000
0,2,2&1,1,1: k=2000.000000, b=0.020000, c=3.141593
0,1,2&1,2,2: k=2000.000000, b=0.020000, c=3.141593
1,1,2&2,2,3: k=20000.000000, b=0.000000, c=0.000000
0,2,3&1,1,3: k=2000.000000, b=0.020000, c=3.141593
1,0,1&1,0,2: k=2000.000000, b=0.031083, c=3.203597
1,3,3&2,3,3: k=20000.000000, b=0.000000, c=0.000000
2,0,0&3,0,0: k=20000.000000, b=0.010106, c=0.010429
0,2,2&1,2,2: k=2000.000000, b=0.020000, c=3.141593
1,2,1&2,2,2: k=2000.000000, b=0.030769, c=0.009804
0,1,2&0,2,3: k=2000.000000, b=0.020000, c=3.141593
1,1,2&1,2,2: k=20000.000000, b=0.000000, c=0.000000
0,0,1&0,1,1: k=20000.000000, b=0.000000, c=0.000000
0,3,3&1,3,3: k=2000.000000, b=0.000000, c=0.000000
0,2,1&1,1,2: k=2000.000000, b=0.020000, c=3.141593
2,1,0&2,1,1: k=0.000000, b=0.000000, c=0.000000
0,2,2&1,2,3: k=2000.000000, b=0.020000, c=3.141593
1,2,3&2,2,2: k=20000.000000, b=0.000000, c=0.000000
0,1,2&1,2,3: k=2000.000000, b=0.020000, c=3.141593
0,3,1&1,3,1: k=2000.000000, b=0.020000, c=3.141593
0,1,3&1,0,3: k=2000.000000, b=0.020000, c=0.000000
0,1,0&0,1,1: k=20000.000000, b=0.000000, c=0.000000
1,1,2&2,1,2: k=20000.000000, b=0.000000, c=0.000000
1,2,2&1,2,3: k=20000.000000, b=0.000000, c=0.000000
1,2,3&2,3,3: k=20000.000000, b=0.000000, c=0.000000
1,1,0&2,1,0: k=0.000000, b=0.000000, c=0.000000
1,1,2&1,2,3: k=20000.000000, b=0.000000, c=0.000000
1,3,2&1,3,3: k=2000.000000, b=0.000000, c=0.000000
1,3,1&2,3,0: k=0.000000, b=0.000000, c=0.000000
2,0,3&3,0,3: k=2000.000000, b=0.020000, c=0.000000
0,1,3&1,2,3: k=2000.000000, b=0.020000, c=3.141593
2,3,2&2,3,3: k=20000.000000, b=0.000000, c=0.000000
0,2,3&1,2,3: k=2000.000000, b=0.020000, c=3.141593
1,2,1&1,3,0: k=20000.000000, b=0.000000, c=0.000000
1,1,3&1,2,3: k=20000.000000, b=0.000000, c=0.000000
2,0,2&3,0,2: k=2000.000000, b=0.020000, c=0.000000
0,2,0&0,3,0: k=20000.000000, b=0.000000, c=0.000000
0,3,0&1,2,0: k=20000.000000, b=0.000000, c=0.000000
0,2,2&0,2,3: k=2000.000000, b=0.020000, c=3.141593
0,3,0&0,3,1: k=20000.000000, b=0.000000, c=0.000000
1,2,1&1,3,2: k=2000.000000, b=0.030932, c=3.163836
0,3,0&1,3,1: k=20000.000000, b=0.000000, c=0.000000
1,2,2&2,3,2: k=20000.000000, b=0.010325, c=0.009817
2,1,1&3,1,0: k=20000.000000, b=0.000000, c=0.000000
3,1,2&3,1,3: k=2000.000000, b=0.000000, c=0.000000
0,2,3&1,2,2: k=2000.000000, b=0.030217, c=3.031927
2,2,1&2,3,0: k=2000.000000, b=0.000000, c=0.000000
1,3,2&2,3,1: k=2000.000000, b=0.020000, c=3.141593
2,0,2&3,1,2: k=2000.000000, b=0.020000, c=0.000000
0,3,0&1,2,1: k=20000.000000, b=0.000000, c=0.000000
1,1,3&2,1,3: k=20000.000000, b=0.000000, c=0.000000
1,2,0&1,3,0: k=20000.000000, b=0.000000, c=0.000000
2,0,1&3,0,1: k=20000.000000, b=0.000000, c=0.000000
1,2,0&1,3,1: k=20000.000000, b=0.000000, c=0.000000
2,0,1&2,1,0: k=0.000000, b=0.000000, c=0.000000
2,0,2&2,1,3: k=2000.000000, b=0.000000, c=0.000000
0,2,1&1,3,1: k=2000.000000, b=0.020000, c=3.141593
2,3,2&3,3,2: k=20000.000000, b=0.000000, c=0.000000
1,1,0&2,0,0: k=0.000000, b=0.000000, c=0.000000
0,2,1&1,1,0: k=0.000000, b=0.000000, c=0.000000
0,3,1&1,2,0: k=20000.000000, b=0.000000, c=0.000000
0,2,1&1,3,2: k=2000.000000, b=0.020000, c=3.141593
0,2,2&0,3,1: k=2000.000000, b=0.029776, c=3.296182
0,0,2&1,1,3: k=2000.000000, b=0.020000, c=0.000000
0,2,1&1,1,1: k=0.000000, b=0.000000, c=0.000000
0,3,1&0,3,2: k=2000.000000, b=0.020000, c=3.141593
0,2,1&0,3,0: k=20000.000000, b=0.000000, c=0.000000
1,2,1&2,2,1: k=0.000000, b=0.000000, c=0.000000
3,0,1&3,0,2: k=2000.000000, b=0.000000, c=0.000000
1,2,2&2,1,3: k=20000.000000, b=0.000000, c=0.000000
0,3,2&1,2,1: k=2000.000000, b=0.020000, c=3.141593
0,0,3&0,1,2: k=2000.000000, b=0.020000, c=0.000000
1,0,2&1,1,3: k=2000.000000, b=0.010227, c=0.009896
1,0,1&2,0,1: k=2000.000000, b=0.020000, c=3.141593
0,3,1&1,3,2: k=2000.000000, b=0.020000, c=3.141593
0,2,2&1,1,3: k=2000.000000, b=0.020000, c=3.141593
0,3,1&1,2,2: k=2000.000000, b=0.020000, c=3.141593
2,0,0&2,1,0: k=0.000000, b=0.000000, c=0.000000
1,2,3&2,3,2: k=20000.000000, b=0.000000, c=0.000000
2,1,2&3,0,3: k=2000.000000, b=0.020000, c=0.000000
1,3,1&1,3,2: k=2000.000000, b=0.020000, c=3.141593
0,3,2&1,3,1: k=2000.000000, b=0.020000, c=3.141593
0,2,2&1,2,1: k=2000.000000, b=0.020000, c=3.141593
0,2,2&1,3,2: k=2000.000000, b=0.020000, c=3.141593
1,2,2&1,3,2: k=2000.000000, b=0.020000, c=3.141593
1,1,1&2,1,1: k=2000.000000, b=0.020000, c=3.141593
0,3,2&0,3,3: k=2000.000000, b=0.010108, c=0.009649
0,1,0&0,2,1: k=0.000000, b=0.000000, c=0.000000
0,3,2&1,2,3: k=2000.000000, b=0.000000, c=0.000000
3,2,2&3,3,1: k=2000.000000, b=0.029040, c=3.062779
0,2,3&1,3,2: k=2000.000000, b=0.000000, c=0.000000
0,0,2&0,1,3: k=2000.000000, b=0.020000, c=0.000000
2,2,0&2,2,1: k=2000.000000, b=0.010353, c=0.010480
2,0,1&3,1,0: k=20000.000000, b=0.000000, c=0.000000
1,2,2&2,1,2: k=20000.000000, b=0.000000, c=0.000000
0,2,3&1,3,3: k=2000.000000, b=0.000000, c=0.000000
2,1,0&3,0,0: k=20000.000000, b=0.000000, c=0.000000
1,0,2&2,1,1: k=2000.000000, b=0.020000, c=3.141593
1,2,3&1,3,3: k=2000.000000, b=0.000000, c=0.000000
1,0,0&2,1,1: k=0.000000, b=0.000000, c=0.000000
1,1,1&2,1,0: k=0.000000, b=0.000000, c=0.000000
1,1,1&2,0,0: k=0.000000, b=0.000000, c=0.000000
1,0,2&2,1,3: k=2000.000000, b=0.000000, c=0.000000
2,0,0&2,1,1: k=0.000000, b=0.000000, c=0.000000
2,0,0&2,0,1: k=0.000000, b=0.000000, c=0.000000
0,3,2&1,3,3: k=2000.000000, b=0.000000, c=0.000000
